产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数,在手
,,,,,,B100720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,7.0,20.0,
,,,,,,B100730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,7.0,30.0,
,,,,,,B100740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,7.0,40.0,
,,,,,,B100800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,8.0,0.0,
,,,,,,B100810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,8.0,10.0,
,,,,,,B100820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,8.0,20.0,
,,,,,,B100830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,8.0,30.0,
,,,,,,B100840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,8.0,40.0,
,,,,,,B100900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,9.0,0.0,
,,,,,,B100910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,9.0,10.0,
,,,,,,B100920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,9.0,20.0,
,,,,,,B100930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,9.0,30.0,
,,,,,,B100940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,9.0,40.0,
,,,,,,B101000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,10.0,0.0,
,,,,,,B101010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,10.0,10.0,
,,,,,,B101020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,10.0,20.0,
,,,,,,B101030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,10.0,30.0,
,,,,,,B101040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,10.0,40.0,
,,,,,,B101100,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,11.0,0.0,
,,,,,,B101110,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,11.0,10.0,
,,,,,,B101120,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,11.0,20.0,
,,,,,,B101130,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,11.0,30.0,
,,,,,,B101140,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,11.0,40.0,
,,,,,,B101200,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,12.0,0.0,
,,,,,,B101210,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,12.0,10.0,
,,,,,,B101220,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,12.0,20.0,
,,,,,,B101230,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,12.0,30.0,
,,,,,,B101240,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,12.0,40.0,
,,,,,,B101300,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,13.0,0.0,
,,,,,,B101310,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,13.0,10.0,
,,,,,,B101320,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,13.0,20.0,
,,,,,,B101330,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,13.0,30.0,
,,,,,,B101340,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,13.0,40.0,
,,,,,,B101400,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,14.0,0.0,
,,,,,,B101410,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,14.0,10.0,
,,,,,,B101420,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,14.0,20.0,
,,,,,,B101430,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,14.0,30.0,
,,,,,,B101440,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,14.0,40.0,
,,,,,,B101500,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,15.0,0.0,
,,,,,,B101510,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,15.0,10.0,
,,,,,,B101520,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,15.0,20.0,
,,,,,,B101530,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,15.0,30.0,
,,,,,,B101540,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,15.0,40.0,
,,,,,,B101600,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,16.0,0.0,
,,,,,,B101610,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,16.0,10.0,
,,,,,,B101620,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,16.0,20.0,
,,,,,,B101630,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,16.0,30.0,
,,,,,,B101640,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,16.0,40.0,
,,,,,,B101700,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,17.0,0.0,
,,,,,,B101710,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,17.0,10.0,
,,,,,,B101720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,17.0,20.0,
,,,,,,B101730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,17.0,30.0,
,,,,,,B101740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,17.0,40.0,
,,,,,,B101800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,18.0,0.0,
,,,,,,B101810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,18.0,10.0,
,,,,,,B101820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,18.0,20.0,
,,,,,,B101830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,18.0,30.0,
,,,,,,B101840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,18.0,40.0,
,,,,,,B101900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,19.0,0.0,
,,,,,,B101910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,19.0,10.0,
,,,,,,B101920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,19.0,20.0,
,,,,,,B101930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,19.0,30.0,
,,,,,,B101940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,19.0,40.0,
,,,,,,B102000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,20.0,0.0,
,,,,,,B102010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,20.0,10.0,
,,,,,,B102020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,20.0,20.0,
,,,,,,B102030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,20.0,30.0,
,,,,,,B102040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,20.0,40.0,
,,,,,,B102100,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,21.0,0.0,
,,,,,,B102110,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,21.0,10.0,
,,,,,,B102120,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,21.0,20.0,
,,,,,,B102130,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,21.0,30.0,
,,,,,,B102140,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,21.0,40.0,
,,,,,,B102200,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,22.0,0.0,
,,,,,,B102210,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,22.0,10.0,
,,,,,,B102220,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,22.0,20.0,
,,,,,,B102230,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,22.0,30.0,
,,,,,,B102240,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,22.0,40.0,
,,,,,,B102300,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,23.0,0.0,
,,,,,,B102310,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,23.0,10.0,
,,,,,,B102320,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,23.0,20.0,
,,,,,,B102330,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,23.0,30.0,
,,,,,,B102340,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,23.0,40.0,
,,,,,,B102400,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,24.0,0.0,
,,,,,,B102410,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,24.0,10.0,
,,,,,,B102420,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,24.0,20.0,
,,,,,,B102430,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,24.0,30.0,
,,,,,,B102440,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,24.0,40.0,
,,,,,,B102500,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,25.0,0.0,
,,,,,,B102510,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,25.0,10.0,
,,,,,,B102520,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,25.0,20.0,
,,,,,,B102530,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,25.0,30.0,
,,,,,,B102540,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,25.0,40.0,
,,,,,,B102600,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,26.0,0.0,
,,,,,,B102610,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,26.0,10.0,
,,,,,,B102620,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,26.0,20.0,
,,,,,,B102630,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,26.0,30.0,
,,,,,,B102640,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,26.0,40.0,
,,,,,,B102700,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,27.0,0.0,
,,,,,,B102710,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,27.0,10.0,
,,,,,,B102720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,27.0,20.0,
,,,,,,B102730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,27.0,30.0,
,,,,,,B102740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,27.0,40.0,
,,,,,,B102800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,28.0,0.0,
,,,,,,B102810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,28.0,10.0,
,,,,,,B102820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,28.0,20.0,
,,,,,,B102830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,28.0,30.0,
,,,,,,B102840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,28.0,40.0,
,,,,,,B102900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,29.0,0.0,
,,,,,,B102910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,29.0,10.0,
,,,,,,B102920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,29.0,20.0,
,,,,,,B102930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,29.0,30.0,
,,,,,,B102940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,29.0,40.0,
,,,,,,B103000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,30.0,0.0,
,,,,,,B103010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,30.0,10.0,
,,,,,,B103020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,30.0,20.0,
,,,,,,B103030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,30.0,30.0,
,,,,,,B103040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,30.0,40.0,
,,,,,,B103100,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,31.0,0.0,
,,,,,,B103110,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,31.0,10.0,
,,,,,,B103120,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,31.0,20.0,
,,,,,,B103130,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,31.0,30.0,
,,,,,,B103140,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,31.0,40.0,
,,,,,,B103200,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,32.0,0.0,
,,,,,,B103210,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,32.0,10.0,
,,,,,,B103220,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,32.0,20.0,
,,,,,,B103230,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,32.0,30.0,
,,,,,,B103240,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,32.0,40.0,
,,,,,,B103300,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,33.0,0.0,
,,,,,,B103310,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,33.0,10.0,
,,,,,,B103320,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,33.0,20.0,
,,,,,,B103330,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,33.0,30.0,
,,,,,,B103340,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,33.0,40.0,
,,,,,,B103400,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,34.0,0.0,
,,,,,,B103410,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,34.0,10.0,
,,,,,,B103420,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,34.0,20.0,
,,,,,,B103430,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,34.0,30.0,
,,,,,,B103440,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,34.0,40.0,
,,,,,,B103500,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,35.0,0.0,
,,,,,,B103510,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,35.0,10.0,
,,,,,,B103520,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,35.0,20.0,
,,,,,,B103530,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,35.0,30.0,
,,,,,,B103540,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,35.0,40.0,
,,,,,,B103600,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,36.0,0.0,
,,,,,,B103610,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,36.0,10.0,
,,,,,,B103620,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,36.0,20.0,
,,,,,,B103630,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,36.0,30.0,
,,,,,,B103640,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,36.0,40.0,
,,,,,,B103700,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,37.0,0.0,
,,,,,,B103710,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,37.0,10.0,
,,,,,,B103720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,37.0,20.0,
,,,,,,B103730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,37.0,30.0,
,,,,,,B103740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,37.0,40.0,
,,,,,,B103800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,38.0,0.0,
,,,,,,B103810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,38.0,10.0,
,,,,,,B103820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,38.0,20.0,
,,,,,,B103830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,38.0,30.0,
,,,,,,B103840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,38.0,40.0,
,,,,,,B103900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,39.0,0.0,
,,,,,,B103910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,39.0,10.0,
,,,,,,B103920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,39.0,20.0,
,,,,,,B103930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,39.0,30.0,
,,,,,,B103940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,39.0,40.0,
,,,,,,B104000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,40.0,0.0,
,,,,,,B104010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,40.0,10.0,
,,,,,,B104020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,40.0,20.0,
,,,,,,B104030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,40.0,30.0,
,,,,,,B104040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,40.0,40.0,
,,,,,,B104100,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,41.0,0.0,
,,,,,,B104110,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,41.0,10.0,
,,,,,,B104120,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,41.0,20.0,
,,,,,,B104130,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,41.0,30.0,
,,,,,,B104140,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,41.0,40.0,
,,,,,,B104200,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,42.0,0.0,
,,,,,,B104210,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,42.0,10.0,
,,,,,,B104220,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,42.0,20.0,
,,,,,,B104230,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,42.0,30.0,
,,,,,,B104240,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,42.0,40.0,
,,,,,,B104300,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,43.0,0.0,
,,,,,,B104310,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,43.0,10.0,
,,,,,,B104320,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,43.0,20.0,
,,,,,,B104330,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,43.0,30.0,
,,,,,,B104340,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,43.0,40.0,
,,,,,,B104400,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,44.0,0.0,
,,,,,,B104410,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,44.0,10.0,
,,,,,,B104420,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,44.0,20.0,
,,,,,,B104430,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,44.0,30.0,
,,,,,,B104440,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,44.0,40.0,
,,,,,,B104500,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,45.0,0.0,
,,,,,,B104510,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,45.0,10.0,
,,,,,,B104520,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,45.0,20.0,
,,,,,,B104530,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,45.0,30.0,
,,,,,,B104540,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,45.0,40.0,
,,,,,,B104600,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,46.0,0.0,
,,,,,,B104610,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,46.0,10.0,
,,,,,,B104620,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,46.0,20.0,
,,,,,,B104630,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,46.0,30.0,
,,,,,,B104640,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,46.0,40.0,
,,,,,,B104700,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,47.0,0.0,
,,,,,,B104710,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,47.0,10.0,
,,,,,,B104720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,47.0,20.0,
,,,,,,B104730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,47.0,30.0,
,,,,,,B104740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,47.0,40.0,
,,,,,,B104800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,48.0,0.0,
,,,,,,B104810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,48.0,10.0,
,,,,,,B104820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,48.0,20.0,
,,,,,,B104830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,48.0,30.0,
,,,,,,B104840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,48.0,40.0,
,,,,,,B104900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,49.0,0.0,
,,,,,,B104910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,49.0,10.0,
,,,,,,B104920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,49.0,20.0,
,,,,,,B104930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,49.0,30.0,
,,,,,,B104940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,49.0,40.0,
,,,,,,B105000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,50.0,0.0,
,,,,,,B105010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,50.0,10.0,
,,,,,,B105020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,50.0,20.0,
,,,,,,B105030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,50.0,30.0,
,,,,,,B105040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,50.0,40.0,
,,,,,,B105100,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,51.0,0.0,
,,,,,,B105110,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,51.0,10.0,
,,,,,,B105120,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,51.0,20.0,
,,,,,,B105130,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,51.0,30.0,
,,,,,,B105140,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,51.0,40.0,
,,,,,,B105200,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,52.0,0.0,
,,,,,,B105210,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,52.0,10.0,
,,,,,,B105220,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,52.0,20.0,
,,,,,,B105230,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,52.0,30.0,
,,,,,,B105240,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,52.0,40.0,
,,,,,,B105300,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,53.0,0.0,
,,,,,,B105310,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,53.0,10.0,
,,,,,,B105320,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,53.0,20.0,
,,,,,,B105330,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,53.0,30.0,
,,,,,,B105340,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,53.0,40.0,
,,,,,,B105400,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,54.0,0.0,
,,,,,,B105410,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,54.0,10.0,
,,,,,,B105420,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,54.0,20.0,
,,,,,,B105430,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,54.0,30.0,
,,,,,,B105440,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,54.0,40.0,
,,,,,,B105500,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,55.0,0.0,
,,,,,,B105510,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,55.0,10.0,
,,,,,,B105520,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,55.0,20.0,
,,,,,,B105530,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,55.0,30.0,
,,,,,,B105540,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,55.0,40.0,
,,,,,,B105600,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,56.0,0.0,
,,,,,,B105610,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,56.0,10.0,
,,,,,,B105620,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,56.0,20.0,
,,,,,,B105630,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,56.0,30.0,
,,,,,,B105640,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,56.0,40.0,
,,,,,,B105700,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,57.0,0.0,
,,,,,,B105710,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,57.0,10.0,
,,,,,,B105720,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,57.0,20.0,
,,,,,,B105730,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,57.0,30.0,
,,,,,,B105740,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,57.0,40.0,
,,,,,,B105800,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,58.0,0.0,
,,,,,,B105810,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,58.0,10.0,
,,,,,,B105820,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,58.0,20.0,
,,,,,,B105830,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,58.0,30.0,
,,,,,,B105840,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,58.0,40.0,
,,,,,,B105900,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,59.0,0.0,
,,,,,,B105910,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,59.0,10.0,
,,,,,,B105920,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,59.0,20.0,
,,,,,,B105930,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,59.0,30.0,
,,,,,,B105940,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,59.0,40.0,
,,,,,,B106000,,,,拣货位,120.0,115.0,105.0,不可用,B,10.0,60.0,0.0,
,,,,,,B106010,,,,拣货位,120.0,115.0,70.0,不可用,B,10.0,60.0,10.0,
,,,,,,B106020,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,60.0,20.0,
,,,,,,B106030,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,60.0,30.0,
,,,,,,B106040,,,,存货位,120.0,115.0,105.0,不可用,B,10.0,60.0,40.0,
,,,,,,B110100,,,,拣货位,120.0,115.0,105.0,不可用,B,11.0,1.0,0.0,
,,,,,,B110110,,,,拣货位,120.0,115.0,70.0,不可用,B,11.0,1.0,10.0,
,,,,,,B110120,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,1.0,20.0,
,,,,,,B110130,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,1.0,30.0,
,,,,,,B110140,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,1.0,40.0,
,,,,,,B110200,,,,拣货位,120.0,115.0,105.0,不可用,B,11.0,2.0,0.0,
,,,,,,B110210,,,,拣货位,120.0,115.0,70.0,不可用,B,11.0,2.0,10.0,
,,,,,,B110220,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,2.0,20.0,
,,,,,,B110230,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,2.0,30.0,
,,,,,,B110240,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,2.0,40.0,
,,,,,,B110300,,,,拣货位,120.0,115.0,105.0,不可用,B,11.0,3.0,0.0,
,,,,,,B110310,,,,拣货位,120.0,115.0,70.0,不可用,B,11.0,3.0,10.0,
,,,,,,B110320,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,3.0,20.0,
,,,,,,B110330,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,3.0,30.0,
,,,,,,B110340,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,3.0,40.0,
,,,,,,B110400,,,,拣货位,120.0,115.0,105.0,不可用,B,11.0,4.0,0.0,
,,,,,,B110410,,,,拣货位,120.0,115.0,70.0,不可用,B,11.0,4.0,10.0,
,,,,,,B110420,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,4.0,20.0,
,,,,,,B110430,,,,存货位,120.0,115.0,105.0,不可用,B,11.0,4.0,30.0,
